243,LHX,"L3Harris Technologies, Inc.",39.10B
244,CCI,Crown Castle Inc.,38.90B
245,KVUE,Kenvue Inc.,38.69B
246,XEL,Xcel Energy Inc.,38.24B
247,IDXX,"IDEXX Laboratories, Inc.",37.65B
248,OTIS,Otis Worldwide Corporation,37.60B
249,TTWO,"Take-Two Interactive Software, Inc.",36.83B
250,IR,Ingersoll Rand Inc.,36.65B
251,IQV,IQVIA Holdings Inc.,36.65B
252,F,Ford Motor Company,36.62B
253,VMC,Vulcan Materials Company,36.04B
254,UAL,"United Airlines Holdings, Inc.",35.85B
255,WAB,Westinghouse Air Brake Technologies Corporation,35.55B
256,KHC,The Kraft Heinz Company,35.43B
257,ETR,Entergy Corporation,35.33B
258,ACGL,Arch Capital Group Ltd.,35.04B
259,CCL,Carnival Corporation & plc,35.02B
260,RMD,ResMed Inc.,34.80B
261,SYY,Sysco Corporation,34.79B
262,MPWR,"Monolithic Power Systems, Inc.",34.44B
263,DXCM,"DexCom, Inc.",34.40B
264,EXR,Extra Space Storage Inc.,34.30B
265,RJF,"Raymond James Financial, Inc.",34.26B
266,LYV,"Live Nation Entertainment, Inc.",34.20B
267,EA,Electronic Arts Inc.,33.52B
268,PCG,PG&E Corporation,33.49B
269,ED,"Consolidated Edison, Inc.",33.29B
270,MTB,M&T Bank Corporation,33.17B
271,HUM,Humana Inc.,33.03B
272,MLM,"Martin Marietta Materials, Inc.",32.92B
273,HIG,"The Hartford Financial Services Group, Inc.",32.65B
274,WTW,Willis Towers Watson Public Limited Company,32.52B
275,EBAY,eBay Inc.,32.49B
276,GIS,"General Mills, Inc.",32.48B
277,LEN,Lennar Corporation,32.38B
278,WEC,"WEC Energy Group, Inc.",32.34B
279,XYL,Xylem Inc.,31.85B
280,VICI,VICI Properties Inc.,31.74B
281,DD,"DuPont de Nemours, Inc.",31.67B
282,CSGP,"CoStar Group, Inc.",31.67B
283,HSY,The Hershey Company,31.35B
284,AVB,"AvalonBay Communities, Inc.",31.28B
285,IRM,Iron Mountain Incorporated,31.12B
286,BRO,"Brown & Brown, Inc.",31.05B
287,TPL,Texas Pacific Land Corporation,30.91B
288,EFX,Equifax Inc.,30.79B
289,LVS,Las Vegas Sands Corp.,30.77B
290,CAH,"Cardinal Health, Inc.",30.77B
291,NUE,Nucor Corporation,30.59B
292,STZ,"Constellation Brands, Inc.",30.54B
293,EQT,EQT Corporation,30.50B
294,ROK,"Rockwell Automation, Inc.",30.34B
295,HPQ,HP Inc.,30.26B
296,ANSS,"ANSYS, Inc.",30.16B
297,KEYS,"Keysight Technologies, Inc.",30.14B
298,GDDY,GoDaddy Inc.,29.68B
299,IP,International Paper Company,29.56B
300,FITB,Fifth Third Bancorp,29.50B
301,MTD,Mettler-Toledo International Inc.,29.33B
302,CNC,Centene Corporation,29.23B
303,STT,State Street Corporation,28.71B
304,K,Kellanova,28.37B
305,TSCO,Tractor Supply Company,28.29B
306,BR,"Broadridge Financial Solutions, Inc.",28.13B
307,SW,Smurfit Westrock Plc,28.00B
308,HPE,Hewlett Packard Enterprise Company,27.98B
309,MCHP,Microchip Technology Incorporated,27.91B
310,GPN,Global Payments Inc.,27.89B
311,EQR,Equity Residential,27.89B
312,DOV,Dover Corporation,27.79B
